batch_size,epochs,loss,accuracy,time
64,5,0.0875319521857,0.973667377368,1291.886046886444
64,10,0.0499860896447,0.98460554373,2572.866151571274
128,5,0.143379346674,0.956929637496,1249.2174503803253
128,10,0.0818665813632,0.975373134328,2496.2988047599792
256,5,0.221157586004,0.934712153508,1122.4884450435638
256,10,0.132596542659,0.961556503198,2234.442214488983
512,5,0.327463984833,0.905565031973,953.4987797737122
512,10,0.207881999509,0.938528784496,1896.2717101573944
1024,5,0.561350676622,0.854328358504,887.6636230945587
1024,10,0.302840389313,0.912835820499,1775.5247540473938
