batch_size,epochs,loss,accuracy,time
64,5,0.147827994013,0.947200000038,588.8480107784271
64,10,0.0691044747472,0.979440000038,1182.8758566379547
64,20,0.0337837071864,0.99068,2378.695970058441
128,5,0.161986185222,0.941880000019,336.6351525783539
128,10,0.0853365478611,0.973639999981,669.6971356868744
256,5,0.182242770987,0.933319999847,199.55563044548035
256,10,0.10915763978,0.964640000076,397.6646957397461
512,5,0.19301823298,0.930119999504,139.95632696151733
512,10,0.124616889591,0.960640000172,277.3660089969635
1024,5,0.243041801119,0.909439999752,110.21339058876038
1024,10,0.146524913568,0.952960000076,216.59101366996765
